SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:48;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 m3 _Oak industrial roundwood, manually felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak industrial roundwood, manually felled, 80% water on dry mass basis, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_357XP/Husqvarna U (2009);Operation, passenger car, diesel, fleet average/RER S
1;1-Butanol;Air;high. pop.;kg;2.76085E-14;x;2.52916E-14;2.31687E-15
2;1-Butanol;Eau;river;kg;8.25464E-10;x;8.16865E-10;8.59892E-12
3;1-Pentanol;Air;high. pop.;kg;1.03174E-14;x;9.47704E-15;8.40329E-16
4;1-Pentanol;Eau;river;kg;2.47617E-14;x;2.27449E-14;2.01677E-15
5;1-Pentene;Air;high. pop.;kg;7.79665E-15;x;7.16163E-15;6.35022E-16
6;1-Pentene;Eau;river;kg;1.87116E-14;x;1.71876E-14;1.52406E-15
7;1-Propanol;Air;high. pop.;kg;3.79713E-12;x;3.51656E-12;2.8057E-13
8;1-Propanol;Eau;river;kg;6.11568E-14;x;5.21149E-14;9.0419E-15
9;1,4-Butanediol;Air;high. pop.;kg;2.7449E-12;x;2.70455E-12;4.03548E-14
10;1,4-Butanediol;Eau;river;kg;1.09794E-12;x;1.0818E-12;1.61419E-14
11;2-Aminopropanol;Air;high. pop.;kg;2.40507E-15;x;1.8815E-15;5.2357E-16
12;2-Aminopropanol;Eau;river;kg;6.03557E-15;x;4.71901E-15;1.31656E-15
13;2-Butene, 2-methyl-;Air;high. pop.;kg;1.72938E-18;x;1.58853E-18;1.40855E-19
14;2-Methyl-1-propanol;Air;high. pop.;kg;3.45765E-14;x;3.12046E-14;3.3719E-15
15;2-Methyl-1-propanol;Eau;river;kg;8.2983E-14;x;7.48907E-14;8.09239E-15
16;2-Methyl-2-butene;Eau;river;kg;4.15057E-18;x;3.81251E-18;3.38058E-19
17;2-Nitrobenzoic acid;Air;high. pop.;kg;4.28178E-15;x;3.3402E-15;9.41583E-16
18;2-Propanol;Air;high. pop.;kg;4.89694E-08;x;4.84638E-08;5.05617E-10
19;2-Propanol;Eau;river;kg;3.40654E-14;x;2.96252E-14;4.44022E-15
20;2,4-D;Sol;agricultural;kg;2.17037E-10;x;1.96027E-10;2.10104E-11
21;4-Methyl-2-pentanone;Eau;;kg;7.10834E-14;x;6.77981E-14;3.28532E-15
