SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:57;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 m2 _Oak forest respacing by brush-cutter, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest respacing by brush-cutter, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_Brush-cutter/hr/FR U;Operation, passenger car, diesel, fleet average/RER S
1;1-Butanol;Air;high. pop.;kg;6.23819E-17;x;3.96766E-17;2.27053E-17
2;1-Butanol;Eau;river;kg;4.15381E-13;x;3.31112E-13;8.42695E-14
3;1-Pentanol;Air;high. pop.;kg;3.73391E-17;x;2.91039E-17;8.23522E-18
4;1-Pentanol;Eau;river;kg;8.9615E-17;x;6.98507E-17;1.97643E-17
5;1-Pentene;Air;high. pop.;kg;2.82166E-17;x;2.19934E-17;6.22322E-18
6;1-Pentene;Eau;river;kg;6.77191E-17;x;5.27833E-17;1.49358E-17
7;1-Propanol;Air;high. pop.;kg;9.0742E-15;x;6.32462E-15;2.74958E-15
8;1-Propanol;Eau;river;kg;2.25381E-16;x;1.36771E-16;8.86106E-17
9;1,4-Butanediol;Air;high. pop.;kg;1.68403E-15;x;1.28855E-15;3.95477E-16
10;1,4-Butanediol;Eau;river;kg;6.73608E-16;x;5.15417E-16;1.58191E-16
11;2-Aminopropanol;Air;high. pop.;kg;8.91404E-18;x;3.78305E-18;5.13098E-18
12;2-Aminopropanol;Eau;river;kg;2.23893E-17;x;9.48709E-18;1.29022E-17
13;2-Butene, 2-methyl-;Air;high. pop.;kg;6.2588E-21;x;4.87842E-21;1.38038E-21
14;2-Methyl-1-propanol;Air;high. pop.;kg;1.14598E-16;x;8.15537E-17;3.30446E-17
15;2-Methyl-1-propanol;Eau;river;kg;2.75033E-16;x;1.95728E-16;7.93054E-17
16;2-Methyl-2-butene;Eau;river;kg;1.50214E-20;x;1.17084E-20;3.31297E-21
17;2-Nitrobenzoic acid;Air;high. pop.;kg;1.57832E-17;x;6.55566E-18;9.22751E-18
18;2-Propanol;Air;high. pop.;kg;2.4503E-11;x;1.95479E-11;4.95505E-12
19;2-Propanol;Eau;river;kg;1.18548E-16;x;7.50336E-17;4.35141E-17
20;2,4-D;Sol;agricultural;kg;6.23973E-13;x;4.1807E-13;2.05902E-13
21;4-Methyl-2-pentanone;Eau;;kg;1.66889E-16;x;1.34693E-16;3.21962E-17
