"species","mean","min","max"
"Alisier blanc",17.9848789687487,7.95774715459477,52.2484129029342
"Alisier torminal",20.2715620882109,7.95774715459477,54.8405545350934
"Aubepine monogyne",18.7423788315436,7.63943726841098,116.733761977369
"Aulne glutineux",21.3767298609579,7.95774715459477,59.3744806245773
"Bouleau verruqueux",20.1553924555719,7.63943726841098,72.3308752334823
"Charme",22.0162329386534,7.63943726841098,85.9517274078132
"Chataignier",22.4111850414262,7.63943726841098,138.980058105201
"Chene-liege",22.2286399978458,7.96199015524527,69.8271341229783
"Chene pedoncule",24.0594387733824,7.63943726841098,107.588741530121
"Chene pubescent",17.5053844067495,7.63943726841098,83.3577362398229
"Chene rouge",20.6888059888712,8.23511555567797,48.70141258612
"Chene sessile",24.6480316134258,7.63943726841098,89.763387903829
"Chene tauzin",24.0456999105489,8.59436692696235,81.7877846691973
"Chene vert",14.7064392611459,7.63943726841098,70.6647947328015
"Douglas",24.7937953732976,7.88258941393395,66.3144828065203
"Epicea commun",25.6255710156963,7.63943726841098,84.0338099525207
"Epicea de sitka",27.9895990596694,8.99185500943715,57.2299194667536
"Erable a feuilles d'obier",17.2685656799632,7.63943726841098,58.1003470553835
"Erable champetre",19.5282817036187,8.20071635353138,60.7566348650695
"Erable sycomore",23.113514700297,7.63943726841098,83.6369310947345
"Frene commun",21.4677520934851,7.63943726841098,82.604532361443
"Hetre",26.1586392673663,7.63943726841098,155.653534343874
"Houx",22.2595939250115,8.48021350615537,57.0270957772386
"Meleze d'europe",25.9923912356785,7.63943726841098,76.7126825702936
"Merisier",21.2093259466752,7.9641108078745,66.4214425852193
"Noisetier coudrier",19.2907616348863,7.63943726841098,50.8974197424983
"Orme champetre",18.8793810473494,7.63943726841098,57.4361411375258
"Peuplier cultive",22.6032178285818,8.59436692696235,120.95775674984
"Pin a crochets",22.6036130715632,8.59436692696235,55.2380012744594
"Pin d'alep",20.4379933593878,7.95774715459477,68.9675500948783
"Pin laricio de corse",23.58037534105,7.63943726841098,130.507053335354
"Pin maritime",24.771052717002,7.63943726841098,103.552472669118
"Pin noir d'autriche",20.5792899092879,7.63943726841098,51.7319671339209
"Pin sylvestre",22.0492384177232,7.63943726841098,72.7729777266915
"Robinier faux acacia",19.4719201888799,7.80021607247029,55.6702287565622
"Sapin pectine",26.3319771633514,8.17133159407331,85.317219476712
"Saule marsault",17.4662097117278,7.63943726841098,51.8972294812708
"Sorbier des oiseleurs",20.8377147289667,7.95774715459477,47.4322274078348
"Tilleul a grandes feuilles",22.1629840367967,8.52131460108093,72.6027464265011
"Tilleul a petites feuilles",23.3405593972703,8.89101122672469,86.8907147316915
"Tremble",19.6961121712657,7.63943726841098,57.8234086027232
