"species","mean","min","max"
"Alisier blanc",616.660494517494,368.833209991455,1397.08940124512
"Alisier torminal",459.574271823024,324.378143310547,914.605140686035
"Aubepine monogyne",495.017668473721,232.22872543335,1121.02197265625
"Aulne glutineux",523.272702789466,293.487133026123,1195.69836425781
"Bouleau verruqueux",504.838666688956,322.461742401123,1281.54544067383
"Charme",492.300632668901,323.827068328857,1132.55972290039
"Chataignier",508.387776488257,273.240673065186,1008.90498352051
"Chene-liege",368.69704655583,202.315281867981,610.941860198975
"Chene pedoncule",483.548216986656,312.697107315064,1138.56092834473
"Chene pubescent",479.564551032973,263.34152507782,1002.99717712402
"Chene rouge",482.750962822061,325.871726989746,988.940269470214
"Chene sessile",490.305272300571,321.316795349121,1045.23931884766
"Chene tauzin",486.252486244081,324.378143310547,869.221160888671
"Chene vert",437.11179647191,188.851415634155,816.981708526612
"Douglas",552.982103202843,323.827068328857,1179.29182434082
"Epicea commun",727.610848192623,323.827068328857,1618.82180786133
"Epicea de sitka",515.952731426497,325.871726989746,1001.91941833496
"Erable a feuilles d'obier",664.428947434198,364.455810546875,1080.14825439453
"Erable champetre",511.593100720441,315.10778427124,1132.55972290039
"Erable sycomore",601.284080470962,272.34711933136,1713.75389099121
"Frene commun",546.862813256406,320.803897857666,1493.57095336914
"Hetre",600.654604704484,328.779903411865,1713.75389099121
"Houx",549.088024097638,327.995235443115,1040.71124267578
"Meleze d'europe",571.988865984944,354.985855102539,1142.37878417969
"Merisier",516.187877090545,331.50210571289,1713.75389099121
"Noisetier coudrier",545.12281569429,287.769171714783,1301.57270812988
"Orme champetre",445.557306284989,239.190215110779,884.888603210448
"Peuplier cultive",429.804113188058,319.299575805664,739.921203613281
"Pin a crochets",597.785603374793,398.707256317139,1278.74658203125
"Pin d'alep",382.854133184182,185.933495521545,619.146312713623
"Pin laricio de corse",471.289934555593,324.765682220459,988.940269470214
"Pin maritime",457.222995478561,223.392753601074,752.605876922608
"Pin noir d'autriche",512.837355602031,341.674247741699,880.805465698242
"Pin sylvestre",513.797140420496,324.907527923584,1218.12028503418
"Robinier faux acacia",491.689662753593,326.432090759277,982.670379638672
"Sapin pectine",708.821514755905,329.79634475708,1493.57095336914
"Saule marsault",525.756319215971,320.803897857666,1260.07594299316
"Sorbier des oiseleurs",738.148578950975,339.416015625,1376.45556640625
"Tilleul a grandes feuilles",652.481730682535,325.140808105469,1161.4914855957
"Tilleul a petites feuilles",500.189706995159,297.150365829468,978.15216064453
"Tremble",489.713624405334,319.299575805664,1713.75389099121
