"species","mean","min","max"
"Alisier blanc",37.6201923076923,0,132
"Alisier torminal",12.0831043956044,0,185
"Aubepine monogyne",16.2611111111111,0,190
"Aulne glutineux",9.12771285475793,0,90
"Bouleau verruqueux",12.7497300798964,0,196
"Charme",10.4051148579835,0,200
"Chataignier",21.6883094751193,0,185
"Chene-liege",30.4887640449438,0,80
"Chene pedoncule",11.2032012195122,0,190
"Chene pubescent",28.1596275357499,0,140
"Chene rouge",7.28618421052632,0,68
"Chene sessile",13.9243762741481,0,200
"Chene tauzin",12.3055555555556,0,92
"Chene vert",33.4478897502153,0,120
"Douglas",19.3120567375887,0,154
"Epicea commun",28.0138822403064,0,111
"Epicea de sitka",11.0789473684211,0,72
"Erable a feuilles d'obier",55.152380952381,0,120
"Erable champetre",17.7031498568247,0,184
"Erable sycomore",23.5118040089087,0,200
"Frene commun",21.3213516647341,0,200
"Hetre",25.776995528494,0,200
"Houx",26.6277372262774,0,174
"Meleze d'europe",47.107202680067,0,110
"Merisier",19.3825481088255,0,184
"Noisetier coudrier",21.7903694479037,0,184
"Orme champetre",12.2220039292731,0,85
"Peuplier cultive",2.48593350383632,0,50
"Pin a crochets",43.3139841688654,0,110
"Pin d'alep",25.8025404157044,0,99
"Pin laricio de corse",18.8453105968331,0,90
"Pin maritime",8.71024096385542,0,130
"Pin noir d'autriche",30.2612244897959,0,184
"Pin sylvestre",25.6074641786071,0,200
"Robinier faux acacia",16.4864010120177,0,141
"Sapin pectine",33.3689712520789,0,200
"Saule marsault",15.1396748946418,0,177
"Sorbier des oiseleurs",35.312734082397,0,106
"Tilleul a grandes feuilles",34.5447647951442,0,185
"Tilleul a petites feuilles",17.1253369272237,0,141
"Tremble",9.7744700045106,0,115
