"species","mean","min","max"
"Alisier blanc",11.8484493528974,4.87976120199476,16.2781613213675
"Alisier torminal",13.9145404319176,10.2943246023996,16.1333168574742
"Arbousier",15.5537337054794,10.1754831586565,18.4517051151821
"Aubepine monogyne",13.5178178282695,9.00030071394784,18.1639898845128
"Aulne glutineux",13.4084576838223,8.80143962587629,17.8209484645299
"Bouleau verruqueux",12.7062436521006,4.45043864420482,15.9389074870518
"Charme",13.2484389950458,8.29226691382272,16.1090594700405
"Chataignier",13.7657739678299,9.00560419474328,17.6352479117257
"Chene-liege",16.7278545701176,14.0874369485038,18.4737818581717
"Chene pedoncule",13.5741979357541,7.62583681515285,17.8167398997716
"Chene pubescent",14.3184285403658,7.44934269360134,18.1939156396048
"Chene rouge",13.7349216466359,10.4063838550023,16.0927867889405
"Chene sessile",13.1134037023486,7.52629735640118,16.3279669625419
"Chene tauzin",14.8277257434162,12.3982650893075,16.1834178652082
"Chene vert",15.3471779432627,7.62836573805128,18.3921240397862
"Douglas",12.6297049033367,8.48165418846266,16.0527503831046
"Epicea commun",10.9066353432812,3.43600041525704,15.5886783599854
"Epicea de sitka",12.3778558281018,7.75998327561787,14.7116317067828
"Erable a feuilles d'obier",11.9767498022617,7.44934269360134,15.5948284694127
"Erable champetre",13.2152817484041,8.45868965557643,16.6182231903076
"Erable de montpellier",14.3423214493529,8.77704431329453,17.0011534009661
"Erable sycomore",11.8585844929161,3.43600041525704,16.8796811785017
"Frene commun",12.9046261558532,6.6571636199951,17.9321072442191
"Hetre",11.9779530662945,4.73059357915606,16.1776932307652
"Houx",13.2186023601603,7.88119803156173,16.2489722115653
"Meleze d'europe",9.07611762209643,2.95291720117842,15.0883447102138
"Merisier",13.2221563923589,7.74381443645274,16.8976182937622
"Noisetier coudrier",12.8791222947482,4.87991011355604,17.0066788537162
"Orme champetre",14.0134681940865,9.59624973365238,17.9321072442191
"Peuplier cultive",13.6967126123287,10.7575911113194,16.3453998565674
"Pin a crochets",7.7353390200024,2.81776736463819,13.0193546158927
"Pin d'alep",16.0925899573134,12.5226827348982,18.4517051151821
"Pin laricio de corse",13.2467792933743,7.23695284553936,16.2747173309326
"Pin maritime",14.9262130360881,9.83191575322834,18.19841166905
"Pin noir d'autriche",12.9012886574426,7.53312574114118,16.9675889696394
"Pin sylvestre",12.3729025324039,4.5078238589423,16.767352104187
"Robinier faux acacia",14.0858554111123,9.74266580172949,18.0762160164969
"Sapin pectine",10.9104203043438,4.76530741793769,15.9024098260062
"Saule cendre",13.8676508935561,5.4904186435576,16.6901640210833
"Saule marsault",12.5425685089308,5.58847174048424,17.2714906420026
"Sorbier des oiseleurs",9.89510003575223,3.43600041525704,16.438006401062
"Tilleul a grandes feuilles",12.5773456932395,7.60084223747253,16.5418251582554
"Tilleul a petites feuilles",13.0825277795273,9.1831509896687,17.138808795384
"Tremble",13.2312634586154,6.50199571677616,17.1211021968297
