species;nbObs;before;after
Crataegus monogyna;3416;2.842923799780382E8;2.842923799780382E8
Abies alba;31807;2.320912695105338E10;2.4164628588528095E10
Carpinus betulus;36494;1.2947035751824896E10;1.2751164160071535E10
Castanea sativa;29875;1.550291147084645E10;1.4407498543324392E10
Tilia cordata;2802;1.1870532941409767E9;1.1870532941409767E9
Acer monspessulanum;1116;1.8922650984415272E8;1.819733221759517E8
Quercus pubescens;29460;9.979088445919832E9;9.57721352466122E9
Sorbus torminalis;3281;5.791769258196527E8;5.791769258196527E8
Picea sitchensis;2052;1.6682389162342763E9;1.6682389162342763E9
Arbutus unedo;1144;1.3916125042527944E8;1.3916125042527944E8
Ilex aquifolium;1311;1.3384720154375698E8;1.3384720154375698E8
Quercus suber;1674;4.7668857629542583E8;4.5552423487929237E8
Quercus ilex;7657;1.9956865522411978E9;1.9956865522411978E9
Salix cinerea;1085;2.712409948360129E8;2.712409948360129E8
Salix caprea;4458;1.2399147929970443E9;1.1808078977445338E9
Quercus robur;61379;4.3694075892184204E10;4.231773430564417E10
Fraxinus excelsior;24388;1.3236410268862505E10;1.292188010061883E10
Betula pendula;16139;6.084962186465752E9;6.064863882521986E9
Acer pseudoplatanus;7416;3.297210418738488E9;3.30741428735331E9
Populus tremula;7417;3.5678557628187246E9;3.4640844615319133E9
Sorbus aria;3775;5.65956575304017E8;5.651785981708219E8
Ulmus minor;2862;5.851183275973431E8;5.594327552866652E8
Acer campestre;7473;2.4418825857404246E9;2.304504722343175E9
Pinus pinaster;22511;1.4636203071307398E10;1.3959878872183626E10
Pinus nigra;5597;2.7146019273390164E9;2.6832882140473547E9
Acer opalus;1370;3.6330899198751014E8;3.843305269236385E8
Fagus sylvatica;57733;3.773724519136055E10;3.940298558508383E10
Larix decidua;4154;2.828114444561312E9;2.9728768282778797E9
Prunus avium;7360;2.877862311783585E9;2.7653302172426634E9
Picea abies;30117;2.305135776117018E10;2.390701877493781E10
Pinus uncinata;2690;8.862206619820498E8;9.496768246631931E8
Populus spp.;1448;1.58925443458416E9;1.58925443458416E9
Quercus petraea;56481;4.085436926614726E10;4.0240277321797905E10
Robinia pseudoacacia;8004;3.456543714301055E9;3.322828903930226E9
Quercus pyrenaica;1769;7.59216199084089E8;6.053086112055465E8
Quercus rubra;1477;8.066120172494605E8;8.066120172494605E8
Pseudotsuga menziesii;15373;1.2503857616774889E10;1.2438938932265205E10
Pinus nigra var. corsicana;5835;3.541134084839659E9;3.629579652249867E9
Corylus avellana;5935;6.397762288775183E8;6.53497151979399E8
Sorbus aucuparia;1391;2.190395720347452E8;2.270863422003386E8
Alnus glutinosa;5875;3.077118791573642E9;2.986909157144264E9
Pinus halepensis;4833;1.9261806679062967E9;1.9136071566612494E9
Tilia platyphyllos;2393;1.0732371775904635E9;1.0732371775904635E9
Pinus sylvestris;35343;1.7553428658441906E10;1.796510929513202E10
