species;nbObs;before;after
Pinus pinaster;22511;1.474483857248875E10;1.401950624120018E10
Arbutus unedo;1144;1.3916125042527944E8;1.3916125042527944E8
Crataegus monogyna;3416;2.84062140838815E8;2.84062140838815E8
Salix cinerea;1085;2.712409948360129E8;2.712409948360129E8
Picea abies;30117;2.3183480669206177E10;2.4099714318782063E10
Carpinus betulus;36494;1.293955843595615E10;1.27693646921878E10
Quercus pyrenaica;1769;7.61489919951665E8;5.923230140781014E8
Acer monspessulanum;1116;1.8922650984415272E8;1.819733221759517E8
Alnus glutinosa;5875;3.091176984527028E9;3.00005226135001E9
Quercus pubescens;29460;1.0038817963584818E10;9.640045975853115E9
Pinus nigra;5597;2.730732047330561E9;2.70812749436515E9
Pinus sylvestris;35343;1.762886868006634E10;1.8093724071538277E10
Betula pendula;16139;6.077217925826112E9;6.057163720423401E9
Acer opalus;1370;3.639443674390793E8;3.85417331717635E8
Sorbus torminalis;3281;5.791769258196527E8;5.791769258196527E8
Picea sitchensis;2052;1.6702255503970823E9;1.6702255503970823E9
Salix caprea;4458;1.2399147929970443E9;1.1808078977445338E9
Ilex aquifolium;1311;1.3384720154375698E8;1.3384720154375698E8
Sorbus aucuparia;1391;2.190395720347452E8;2.270863422003386E8
Tilia cordata;2802;1.1892893970792193E9;1.1892893970792193E9
Pseudotsuga menziesii;15373;1.260284649968781E10;1.2538953488183651E10
Populus spp.;1448;1.5956164261442919E9;1.5956164261442919E9
Pinus uncinata;2690;8.887478919384738E8;9.555360104427071E8
Quercus ilex;7657;2.006078221428121E9;2.006078221428121E9
Acer campestre;7473;2.439267373077808E9;2.304938101034686E9
Acer pseudoplatanus;7416;3.301981243977937E9;3.3160066679579673E9
Fraxinus excelsior;24388;1.3285604808750546E10;1.2988769058245523E10
Quercus petraea;56481;4.1237734650845764E10;4.0763009578079124E10
Prunus avium;7360;2.8785517244119587E9;2.7686461860830703E9
Larix decidua;4154;2.8504338691213493E9;2.9977120813586864E9
Quercus suber;1674;4.7668857629542583E8;4.5552423487929237E8
Tilia platyphyllos;2393;1.0766419542380903E9;1.0766419542380903E9
Pinus nigra var. corsicana;5835;3.5646519169844456E9;3.6831485258435783E9
Quercus robur;61379;4.391271138873777E10;4.256029571118732E10
Castanea sativa;29875;1.5666313481249552E10;1.4589310020966331E10
Quercus rubra;1477;8.086884203805002E8;8.086884203805002E8
Ulmus minor;2862;5.842626253907208E8;5.591237951921687E8
Fagus sylvatica;57733;3.816995686111677E10;3.982444278133131E10
Robinia pseudoacacia;8004;3.4682286497477784E9;3.341000703009053E9
Sorbus aria;3775;5.668181051013952E8;5.661004409538761E8
Populus tremula;7417;3.5729508394279213E9;3.470062270829728E9
Corylus avellana;5935;6.397762288775183E8;6.53497151979399E8
Abies alba;31807;2.3455213261388916E10;2.4501348400146965E10
Pinus halepensis;4833;1.9261806679062967E9;1.9136071566612494E9
