SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:55;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;
Product: ;1 ha _Oak forest rack cleaning by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;
Méthode: ;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;
;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack cleaning by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
1;1-Butanol;Air;high. pop.;kg;6.2962E-12;x;2.5677E-14;4.45405E-13;x;x;2.04742E-12;3.7777E-12
2;1-Butanol;Eau;river;kg;7.12906E-09;x;9.53E-11;6.69767E-10;x;x;4.77795E-09;1.58604E-09
3;1-Pentanol;Air;high. pop.;kg;6.39409E-12;x;9.3131E-15;1.06394E-13;x;x;3.65509E-12;2.6233E-12
4;1-Pentanol;Eau;river;kg;1.53461E-11;x;2.2351E-14;2.55353E-13;x;x;8.77224E-12;6.29617E-12
5;1-Pentene;Air;high. pop.;kg;4.83193E-12;x;7.0377E-15;8.03996E-14;x;x;2.76204E-12;1.98246E-12
6;1-Pentene;Eau;river;kg;1.15968E-11;x;1.6891E-14;1.92961E-13;x;x;6.62898E-12;4.75795E-12
7;1-Propanol;Air;high. pop.;kg;5.37616E-10;x;3.1095E-12;5.49407E-11;x;x;1.9585E-10;2.83716E-10
8;1-Propanol;Eau;river;kg;7.97675E-11;x;1.0021E-13;7.5348E-13;x;x;3.18029E-11;4.71109E-11
9;1,4-Butanediol;Air;high. pop.;kg;4.30588E-11;x;4.4724E-13;5.01053E-12;x;x;2.13516E-11;1.62494E-11
10;1,4-Butanediol;Eau;river;kg;1.72235E-11;x;1.789E-13;2.00423E-12;x;x;8.54066E-12;6.49967E-12
11;2-Aminopropanol;Air;high. pop.;kg;4.84744E-12;x;5.8026E-15;3.49331E-14;x;x;1.65183E-12;3.15487E-12
12;2-Aminopropanol;Eau;river;kg;1.21942E-11;x;1.4591E-14;8.77225E-14;x;x;4.15417E-12;7.93773E-12
