SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:50;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 ha _Oak forest manual clearance by brush-cutter, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest manual clearance by brush-cutter, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_Brush-cutter/hr/FR U;Operation, passenger car, diesel, fleet average/RER S
1;1-Butanol;Air;high. pop.;kg;4.54558E-13;x;3.08596E-13;1.45963E-13
2;1-Butanol;Eau;river;kg;3.11705E-09;x;2.57532E-09;5.41732E-10
3;1-Pentanol;Air;high. pop.;kg;2.79304E-13;x;2.26363E-13;5.29407E-14
4;1-Pentanol;Eau;river;kg;6.70339E-13;x;5.43283E-13;1.27056E-13
5;1-Pentene;Air;high. pop.;kg;2.11066E-13;x;1.7106E-13;4.00064E-14
6;1-Pentene;Eau;river;kg;5.06552E-13;x;4.10537E-13;9.60156E-14
7;1-Propanol;Air;high. pop.;kg;6.68674E-11;x;4.91915E-11;1.76759E-11
8;1-Propanol;Eau;river;kg;1.63341E-12;x;1.06377E-12;5.6964E-13
9;1,4-Butanediol;Air;high. pop.;kg;1.25644E-11;x;1.0022E-11;2.54235E-12
10;1,4-Butanediol;Eau;river;kg;5.02574E-12;x;4.0088E-12;1.01694E-12
11;2-Aminopropanol;Air;high. pop.;kg;6.24086E-14;x;2.94237E-14;3.29849E-14
12;2-Aminopropanol;Eau;river;kg;1.56731E-13;x;7.37885E-14;8.2943E-14
13;2-Butene, 2-methyl-;Air;high. pop.;kg;4.68171E-17;x;3.79433E-17;8.87387E-18
14;2-Methyl-1-propanol;Air;high. pop.;kg;8.46737E-13;x;6.34307E-13;2.1243E-13
15;2-Methyl-1-propanol;Eau;river;kg;2.03215E-12;x;1.52233E-12;5.0982E-13
16;2-Methyl-2-butene;Eau;river;kg;1.12363E-16;x;9.10653E-17;2.12976E-17
17;2-Nitrobenzoic acid;Air;high. pop.;kg;1.10308E-13;x;5.09885E-14;5.93197E-14
18;2-Propanol;Air;high. pop.;kg;1.83893E-07;x;1.52039E-07;3.18539E-08
19;2-Propanol;Eau;river;kg;8.63328E-13;x;5.83595E-13;2.79734E-13
20;2,4-D;Sol;agricultural;kg;4.57532E-09;x;3.25166E-09;1.32366E-09
21;4-Methyl-2-pentanone;Eau;;kg;1.25459E-12;x;1.04761E-12;2.06975E-13
