"idp","xl93","yl93","dc","dep"
19,903872,6804836,NA,"88"
23,1004318,6863931,NA,"57"
45,393417,6221638,NA,"64"
54,700394,6376921,NA,"12"
69,566084,6803699,NA,"28"
83,395385,6461381,NA,"33"
98,563253,6463989,NA,"19"
101,987222,6736164,NA,"90"
147,773713,6775969,NA,"10"
168,713166,6706531,8,"58"
170,957850,6806370,NA,"88"
188,897550,6766916,NA,"52"
190,567383,6719746,NA,"41"
207,587997,6555702,NA,"23"
214,838707,6897338,NA,"51"
233,897047,6940813,8,"54"
244,736826,6668359,NA,"58"
259,647979,6321418,NA,"81"
271,800279,6609866,NA,"71"
276,627754,6769207,8,"45"
296,679879,6550935,NA,"63"
321,641210,6467334,NA,"19"
335,879787,6793051,NA,"52"
344,1012521,6887845,NA,"57"
373,571097,6925584,NA,"76"
526,541281,6945821,NA,"76"
534,876281,6617211,8,"71"
554,665741,6295295,NA,"81"
572,959018,6478617,NA,"73"
617,788664,6653930,NA,"71"
652,561007,6194281,NA,"09"
653,549447,6725891,NA,"41"
694,588998,6675598,NA,"36"
698,947167,6726518,NA,"70"
711,860483,6639329,NA,"71"
771,602710,6881345,NA,"75"
782,710948,6680569,NA,"58"
791,613079,6687388,NA,"41"
826,431334,6459087,NA,"33"
834,612954,6911242,NA,"60"
836,863046,6705257,8,"21"
852,833241,6725497,8,"21"
875,545819,6530075,NA,"87"
906,550936,6184376,NA,"09"
932,930581,6424913,8,"38"
947,962641,6898271,8,"57"
959,948893,6926373,8,"57"
990,948633,6896393,8,"57"
999,652710,6647086,NA,"18"
1002,668629,6401165,NA,"12"
1005,873637,6775116,NA,"52"
1030,534611,6624091,8,"86"
1040,662334,6840870,NA,"75"
1055,714855,6906388,NA,"02"
1087,452125,6315056,NA,"32"
1096,587033,6679611,NA,"36"
1113,912331,6858729,NA,"54"
1118,345930,6277967,NA,"40"
1181,666631,6638975,NA,"18"
1199,704042,6572713,NA,"03"
1210,795315,6965672,NA,"08"
1274,534887,6897901,NA,"27"
1288,600494,6855379,NA,"75"
1315,385803,6267651,NA,"64"
1318,963051,6714389,NA,"25"
1344,659764,6297343,NA,"81"
1356,640419,6611217,NA,"18"
1364,710504,6864449,7,"77"
1372,728356,6848307,NA,"77"
1384,754575,6876068,NA,"51"
1390,898753,6906817,NA,"55"
1414,746902,6678267,NA,"58"
1422,808817,6673744,NA,"21"
1428,821284,6729596,NA,"21"
1441,857496,6757267,NA,"52"
1442,821715,6545737,NA,"69"
1445,710273,6600637,NA,"03"
1446,647739,6769039,NA,"45"
1447,742634,6646327,8,"58"
1464,519694,6512308,NA,"24"
1485,616132,6813275,NA,"28"
1548,981071,6718231,NA,"25"
1609,645056,6449318,NA,"15"
1659,563235,6941640,NA,"76"
1711,886023,6820979,NA,"55"
1718,890965,6465215,NA,"38"
1723,557525,6496008,NA,"87"
1755,652207,6587138,NA,"03"
1846,928531,6418936,NA,"38"
1866,522762,6882011,NA,"27"
1886,357794,6751455,NA,"44"
1924,797797,6787756,NA,"10"
1941,928889,6692700,NA,"25"
1942,595060,6683541,NA,"36"
1959,442158,6802727,NA,"53"
2044,632933,6433435,NA,"15"
2052,427403,6467112,NA,"33"
2070,841781,6789379,NA,"52"
2114,516345,6590270,NA,"86"
2123,1209707,6128797,NA,"2B"
2228,401199,6439353,NA,"33"
2235,793357,6735830,NA,"21"
2312,923831,6337057,NA,"04"
2319,891487,6758974,NA,"52"
2359,606933,6669453,NA,"36"
2394,844258,6845322,NA,"51"
2418,1009256,6741969,8,"68"
2426,509479,6726223,8,"37"
2436,505421,6236696,NA,"31"
2438,750561,6874104,NA,"51"
2442,767140,6708073,NA,"89"
