nom_dispo,x_resc,y_resc,an,secheresseEte,tIntervalVeg6,pred
adeblois,5.2044,22.8703,1961,0,12.827308161,12.651756983
adeblois,5.2044,22.8703,1966,0,13.184129046,12.739531901
adeblois,5.2044,22.8703,1973,1,12.994416414,12.862416785
adeblois,5.2044,22.8703,1976,0,13.105879749,12.915081735
adeblois,5.2044,22.8703,1983,1,13.32044743,13.03796662
adeblois,5.2044,22.8703,1993,0,13.167112679,13.213516454
adeblois,5.2044,22.8703,2001,1,14.053150706,13.353956322
adeblois,5.2044,22.8703,2006,0,13.369480124,13.441731239
bb,6.2906,21.8215,1959,1,13.053904479,12.616647017
bb,6.2906,21.8215,1963,0,13.139162623,12.68686695
bb,6.2906,21.8215,1971,1,12.789441874,12.827306818
bb,6.2906,21.8215,1993,0,13.390787593,13.213516454
bb,6.2906,21.8215,1998,1,13.968682263,13.301291372
bb,6.2906,21.8215,2003,0,14.261664696,13.389066289
butir,8.9534,24.2036,1959,1,13.168273143,12.616647017
butir,8.9534,24.2036,1968,0,13.255949683,12.774641868
butir,8.9534,24.2036,1976,0,13.236480434,12.915081735
butir,8.9534,24.2036,1982,0,13.596082874,13.020411636
butir,8.9534,24.2036,1984,1,13.426663363,13.055521603
butir,8.9534,24.2036,1991,0,13.460575342,13.178406487
butir,8.9534,24.2036,1993,0,13.772561463,13.213516454
butir,8.9534,24.2036,1999,0,13.779123554,13.318846355
butir,8.9534,24.2036,2002,1,14.245446293,13.371511305
butir,8.9534,24.2036,2007,0,13.998459101,13.459286223
cc,5.2289,25.2349,1959,1,12.186544437,12.616647017
cc,5.2289,25.2349,1964,0,12.25757636,12.704421934
cc,5.2289,25.2349,1971,1,11.798857312,12.827306818
cc,5.2289,25.2349,1977,0,11.385857832,12.932636719
cc,5.2289,25.2349,1994,0,12.330437449,13.231071438
cc,5.2289,25.2349,1999,1,12.099610312,13.318846355
cc,5.2289,25.2349,2004,0,12.331925739,13.406621272
charlemagne,8.78,24.1136,1966,1,13.052781075,12.739531901
charlemagne,8.78,24.1136,1976,0,12.791836037,12.915081735
charlemagne,8.78,24.1136,1980,1,13.076642926,12.985301669
charlemagne,8.78,24.1136,1989,0,13.16667178,13.14329652
charlemagne,8.78,24.1136,1997,0,13.541284115,13.283736388
charlemagne,8.78,24.1136,2000,1,13.721250726,13.336401339
charlemagne,8.78,24.1136,2006,0,14.02432637,13.441731239
chatellier,4.6503,23.7813,1960,1,12.69161201,12.634202
chatellier,4.6503,23.7813,1965,0,12.872842295,12.721976917
chatellier,4.6503,23.7813,1997,0,12.912023081,13.283736388
chatellier,4.6503,23.7813,2000,1,12.997145948,13.336401339
chatellier,4.6503,23.7813,2005,0,13.12085911,13.424176256
chavigny,8.7901,24.1116,1966,1,13.052781075,12.739531901
chavigny,8.7901,24.1116,1976,0,12.791836037,12.915081735
chavigny,8.7901,24.1116,1980,0,12.87281372,12.985301669
chavigny,8.7901,24.1116,1986,1,13.474301256,13.09063157
chavigny,8.7901,24.1116,1989,0,13.181498706,13.14329652
chavigny,8.7901,24.1116,1995,0,13.599349011,13.248626421
chretiennet,6.558,24.6917,1968,1,12.699726239,12.774641868
clefosses,6.3071,21.7947,1959,1,12.990854368,12.616647017
clefosses,6.3071,21.7947,1963,0,13.183782847,12.68686695
clefosses,6.3071,21.7947,1971,1,12.601102075,12.827306818
clefosses,6.3071,21.7947,1993,0,13.575729566,13.213516454
clefosses,6.3071,21.7947,1998,1,13.632346215,13.301291372
