"excludedGroup","Parameter","Estimate"
0,"g0",1.14265724155056
0,"g1",-0.7113584491813
0,"g2",2.40356822522773
1,"g0",1.26755732213701
1,"g1",-0.6897704019427
1,"g2",2.27037322774544
2,"g0",1.00854275379578
2,"g1",-0.7059600077516
2,"g2",2.46734782512785
3,"g0",1.09074441339438
3,"g1",-0.7131122027449
3,"g2",2.45176244027109
4,"g0",1.22497511267629
4,"g1",-0.670093614941
4,"g2",2.18091579095955
5,"g0",1.21940843581697
5,"g1",-0.7497427617423
5,"g2",2.52825896408601
6,"g0",1.02032248549579
6,"g1",-0.7316007958282
6,"g2",2.50330534742751
7,"g0",0.99831321054712
7,"g1",-0.7220602754888
7,"g2",2.52052336578481
8,"g0",1.19137491736265
8,"g1",-0.700489892144
8,"g2",2.3297224062528
9,"g0",0.96648351267963
9,"g1",-0.791931592937
9,"g2",2.80242722867667
10,"g0",1.43421941074109
10,"g1",-0.6492462516931
10,"g2",2.02363856988444
