"speciesID","species"
1,"Abies alba"
2,"Abies concolor"
3,"Abies grandis"
4,"Abies nordmanniana"
5,"Abies sp."
6,"Acer pseudoplatanus"
7,"Betula pendula"
8,"Carpinus betulus"
9,"Carya tomentosa"
10,"Cedrus atlantica ou libani"
11,"Fagus sylvatica"
12,"Fraxinus excelsior"
13,"Juglans nigra"
14,"Larix decidua"
15,"Larix kaempferi"
16,"Picea abies"
17,"Pinus cembra"
18,"Pinus halepensis"
19,"Pinus laricio"
20,"Pinus nigra"
21,"Pinus pinaster"
22,"Pinus strobus"
23,"Pinus sylvestris"
24,"Pinus uncinata"
25,"Pseudotsuga menziesii"
26,"Quercus palustris"
27,"Quercus petraea"
28,"Quercus robur"
29,"Quercus robur_petraea"
30,"Quercus rubra"
31,"Thuya plicata"
