i,n
1,2
1,3
1,5
1,6
1,4
1,8
2,2
2,3
2,5
2,4
2,8
3,2
3,3
3,5
3,7
3,8
4,2
4,3
4,5
4,6
4,7
4,4
4,8
5,2
5,3
5,5
5,6
5,7
5,4
5,8
6,2
6,3
6,5
6,6
6,7
6,4
6,8
7,2
7,3
7,5
7,6
7,4
7,8
7,1
8,2
8,3
8,5
8,6
8,4
8,8
8,1
9,2
9,3
9,5
9,6
9,4
9,8
9,1
10,2
10,3
10,6
10,8
11,2
11,3
11,5
11,6
11,7
11,4
11,8
11,1
12,2
12,3
12,5
12,7
12,8
13,2
13,3
13,6
13,8
14,2
14,3
14,5
14,4
14,8
15,2
15,3
15,6
15,7
15,4
15,8
15,1
16,2
16,3
16,5
16,6
16,7
16,4
16,8
17,2
17,3
17,6
17,4
17,8
18,2
18,3
18,5
18,6
18,8
19,2
19,3
19,5
19,6
19,7
19,4
19,8
19,1
20,2
20,3
20,5
20,6
20,7
20,8
21,2
21,3
21,5
21,6
21,7
21,4
21,8
21,1
22,2
22,3
22,5
22,6
22,7
22,4
22,8
23,2
23,3
23,8
24,2
24,3
24,5
24,6
24,4
24,8
25,2
25,3
25,5
25,6
25,7
25,4
25,8
26,2
26,3
26,5
27,2
27,3
27,5
27,7
27,4
27,8
28,2
28,3
28,6
28,8
29,2
29,3
29,6
29,7
29,4
29,8
30,2
30,3
30,5
30,6
30,8
30,1
31,2
31,3
31,5
31,6
31,4
31,8
32,2
32,3
32,5
32,6
32,7
32,4
32,8
32,1
33,2
33,3
33,5
33,6
33,7
33,4
33,8
34,2
34,3
34,5
34,6
34,4
34,8
35,2
35,3
35,5
35,6
35,8
35,1
36,2
36,3
36,5
36,6
36,7
36,4
36,8
37,2
37,3
37,5
37,4
38,2
38,3
38,5
38,4
38,8
39,2
39,3
39,5
39,6
39,8
40,2
40,3
40,5
40,6
40,7
40,8
41,2
41,3
41,5
41,6
41,4
41,8
