nom_dispo,xCoord,yCoord,an,length,secheresseEte,tIntervalVeg6,pred,stdErrPred,scaledResid
adeblois,1.279536,47.576223,1961,5,0,12.827308161,12.676569196,0.2384525884,0.2825965689
adeblois,1.279536,47.576223,1966,7,0,13.184129046,12.760661452,0.2378364351,0.9758653405
adeblois,1.279536,47.576223,1973,3,1,12.994416414,13.033978877,0.2427335705,-0.844704747
adeblois,1.279536,47.576223,1976,7,0,13.105879749,12.928845964,0.2371529892,-0.15349053
adeblois,1.279536,47.576223,1983,10,1,13.32044743,13.093251602,0.2368385693,0.0994714885
adeblois,1.279536,47.576223,1993,8,0,13.167112679,13.214759634,0.2376811351,-1.133178684
adeblois,1.279536,47.576223,2001,5,1,14.053150706,13.442660204,0.2399426194,1.6281624763
adeblois,1.279536,47.576223,2006,5,0,13.369480124,13.433399499,0.2395121877,-1.000265735
bb,2.716651,46.63692,1959,4,1,13.053904479,12.759623494,0.2409584337,0.4398542278
bb,2.716651,46.63692,1963,8,0,13.139162623,12.710206098,0.238184294,0.6461699409
bb,2.716651,46.63692,1971,10,1,12.789441874,12.891430188,0.2370793463,-1.839518037
bb,2.716651,46.63692,1992,1,0,13.152784745,13.197941183,0.2375912266,-0.338025977
bb,2.716651,46.63692,1993,5,0,13.390787593,13.214759634,0.2376811351,0.0996869997
bb,2.716651,46.63692,1998,5,1,13.968682263,13.39220485,0.2394974008,1.5076084035
bb,2.716651,46.63692,2003,5,0,14.261664696,13.382944146,0.2389811474,2.3900007658
butir,6.350215,48.71208,1959,9,1,13.168273143,12.694795049,0.2384410322,0.938715831
butir,6.350215,48.71208,1968,7,0,13.255949683,12.794298354,0.2376410419,0.2052722765
butir,6.350215,48.71208,1975,1,1,14.568630695,13.378792314,0.3014270278,1.2754237196
butir,6.350215,48.71208,1976,6,0,13.236480434,12.928845964,0.2371529892,-0.585749943
butir,6.350215,48.71208,1982,2,0,13.596082874,13.029756671,0.237096262,0.3217081321
butir,6.350215,48.71208,1984,6,1,13.426663363,13.141187707,0.2376249037,-0.583537388
butir,6.350215,48.71208,1990,1,0,13.033822116,13.16430428,0.2374334035,-0.915843914
butir,6.350215,48.71208,1991,2,0,13.460575342,13.181122732,0.2375086468,-0.271763562
butir,6.350215,48.71208,1993,6,0,13.772561463,13.214759634,0.2376811351,0.6605568744
butir,6.350215,48.71208,1999,2,0,13.779123554,13.315670341,0.2383739779,0.1206659723
butir,6.350215,48.71208,2001,1,0,13.195488506,13.349307243,0.2386631021,-0.96613604
butir,6.350215,48.71208,2002,5,1,14.245446293,13.459478655,0.2401054087,1.3980405169
butir,6.350215,48.71208,2007,5,0,13.998459101,13.450217951,0.2397035307,0.3930307991
cc,1.26941,49.701741,1959,5,1,12.186544437,12.736285254,0.239684058,-1.095421994
cc,1.26941,49.701741,1964,7,0,12.25757636,12.72702455,0.238061052,-0.195798988
cc,1.26941,49.701741,1971,6,1,11.798857312,12.922547841,0.2378011983,-2.400179182
cc,1.26941,49.701741,1977,4,0,11.385857832,12.945664415,0.2371250999,-2.854765915
cc,1.26941,49.701741,1994,5,0,12.330437449,13.231578085,0.237778364,-0.344276092
cc,1.26941,49.701741,1999,5,1,12.099610312,13.409023301,0.2396386018,-1.73585802
cc,1.26941,49.701741,2004,5,0,12.331925739,13.399762597,0.2391509799,-0.628566412
charlemagne,6.10911,48.638997,1966,10,1,13.052781075,12.807337932,0.2374927386,-0.554255002
charlemagne,6.10911,48.638997,1976,4,0,12.791836037,12.928845964,0.2371529892,-1.386270036
charlemagne,6.10911,48.638997,1980,9,1,13.076642926,13.047982524,0.2368716783,-0.852276167
charlemagne,6.10911,48.638997,1989,8,0,13.16667178,13.147485829,0.2373655035,-0.638849928
charlemagne,6.10911,48.638997,1997,3,0,13.541284115,13.282033439,0.2381138803,0.3530193308
charlemagne,6.10911,48.638997,2000,6,1,13.721250726,13.410282926,0.2391105044,0.6523182788
charlemagne,6.10911,48.638997,2006,5,0,14.02432637,13.433399499,0.2395121877,1.5514823129
chatellier,0.515147,48.386206,1960,5,1,12.69161201,12.753103705,0.2395406098,0.3272386069
chatellier,0.515147,48.386206,1965,6,0,12.872842295,12.743843001,0.2379450955,0.7546976931
chatellier,0.515147,48.386206,1997,3,0,12.912023081,13.282033439,0.2381138803,-0.983104453
chatellier,0.515147,48.386206,2000,5,1,12.997145948,13.425841753,0.2397870125,-1.20425537
chatellier,0.515147,48.386206,2005,5,0,13.12085911,13.416581048,0.2393279986,-0.490722781
chavigny,6.122662,48.636765,1966,10,1,13.052781075,12.807337932,0.2374927386,0.1326021285
chavigny,6.122662,48.636765,1976,4,0,12.791836037,12.928845964,0.2371529892,-1.192987227
chavigny,6.122662,48.636765,1980,6,0,12.87281372,12.996119769,0.2370856712,-1.281032018
chavigny,6.122662,48.636765,1986,3,1,13.474301256,13.252618743,0.2428361114,0.1625894918
chavigny,6.122662,48.636765,1989,6,0,13.181498706,13.147485829,0.2373655035,-0.540501132
chavigny,6.122662,48.636765,1995,5,0,13.599349011,13.248396536,0.2378829044,0.7204995601
chretiennet,3.102429,49.216069,1968,10,1,12.699726239,12.840974834,0.2373053622,0.2011047851
clefosses,2.738023,46.612735,1959,4,1,12.990854368,12.759623494,0.2409584337,-0.204360006
clefosses,2.738023,46.612735,1963,8,0,13.183782847,12.710206098,0.238184294,0.8028447224
clefosses,2.738023,46.612735,1971,10,1,12.601102075,12.891430188,0.2370793463,-2.971800817
clefosses,2.738023,46.612735,1992,1,0,13.188942909,13.197941183,0.2375912266,-0.34454111
clefosses,2.738023,46.612735,1993,5,0,13.575729566,13.214759634,0.2376811351,0.6266754731
clefosses,2.738023,46.612735,1998,5,1,13.632346215,13.39220485,0.2394974008,0.1257603328
clefosses,2.738023,46.612735,2003,5,0,14.223118038,13.382944146,0.2389811474,2.3255623704
coteauxhetr,1.298189,49.702889,1963,8,0,12.226303819,12.710206098,0.238184294,1.7630558736
ducellier,0.54829,48.392198,1965,8,0,12.73918438,12.743843001,0.2379450955,0.7262202286
ducellier,0.54829,48.392198,1973,7,1,12.558845781,12.945071296,0.2373474237,-1.037783251
ducellier,0.54829,48.392198,1980,1,0,12.668124527,12.996119769,0.2370856712,-0.245878141
ducellier,0.54829,48.392198,1993,5,0,12.972604907,13.214759634,0.2376811351,-0.198405033
ducellier,0.54829,48.392198,1998,2,0,12.814269084,13.29885189,0.2382402946,-0.689364996
ducellier,0.54829,48.392198,2000,5,1,12.997145948,13.425841753,0.2397870125,-0.802547428
ducellier,0.54829,48.392198,2005,5,0,13.12085911,13.416581048,0.2393279986,-0.235574856
epiceas,6.104444,48.636446,1966,10,1,13.052781075,12.807337932,0.2374927386,0.3825140451
epiceas,6.104444,48.636446,1976,4,0,12.791836037,12.928845964,0.2371529892,-1.060890264
epiceas,6.104444,48.636446,1980,7,0,12.965767634,12.996119769,0.2370856712,-0.845190737
epiceas,6.104444,48.636446,1987,2,1,13.558421048,13.347231328,0.2523705453,0.1522858939
epiceas,6.104444,48.636446,1989,7,0,13.181730581,13.147485829,0.2373655035,-0.502892089
epiceas,6.104444,48.636446,1996,3,0,13.429207198,13.265214988,0.2379947465,0.0682704004
epiceas,6.104444,48.636446,1999,7,1,13.692164964,13.382351027,0.2385935898,0.7393301385
epiceas,6.104444,48.636446,2006,5,0,14.02432637,13.433399499,0.2395121877,1.6444260527
faite,3.117818,49.281109,1961,7,0,13.041224011,12.676569196,0.2384525884,1.763757558
