"idp","XCOORD","YCOORD","xl93","yl93","dc","dep"
19,5.750357,48.311889,903872,6804836,NA,"88"
23,7.145191,48.803549,1004318,6863931,NA,"57"
54,3.004955,44.491349,700394,6376921,NA,"12"
69,1.193327,48.319823,566084,6803699,NA,"28"
83,-0.880028,45.184369,395385,6461381,NA,"33"
98,1.256334,45.261659,563253,6463989,NA,"19"
101,6.828395,47.663185,987222,6736164,NA,"90"
147,3.989899,48.079939,773713,6775969,NA,"10"
168,3.174753,47.459004,713166,6706531,8,"58"
179,-0.762633,44.449596,400707,6379415,8,"33"
188,5.647986,47.972819,897550,6766916,NA,"52"
190,1.236142,47.564757,567383,6719746,NA,"41"
207,1.5503,46.09185,587997,6555702,NA,"23"
214,4.901703,49.160773,838707,6897338,NA,"51"
233,5.721558,49.536052,897047,6940813,8,"54"
244,3.485671,47.114475,736826,6668359,NA,"58"
259,2.351517,43.989841,647979,6321418,NA,"81"
271,4.309607,46.58135,800279,6609866,NA,"71"
296,2.739741,46.057883,679879,6550935,NA,"63"
321,2.249862,45.302859,641210,6467334,NA,"19"
335,5.420781,48.213005,879787,6793051,NA,"52"
340,6.467308,47.820679,959382,6752394,3,"70"
344,7.274327,49.014366,1012521,6887845,NA,"57"
373,1.223956,49.416672,571097,6925584,NA,"76"
456,0.534189,46.314186,510284,6582327,NA,"86"
462,0.345081,42.964753,483231,6210909,NA,"65"
486,3.582653,49.01999,742617,6880167,NA,"2"
492,1.572891,46.325939,590212,6581662,NA,"23"
526,0.805591,49.591756,541281,6945821,NA,"76"
554,2.574683,43.755847,665741,6295295,NA,"81"
560,5.684851,46.441174,906083,6596971,NA,"39"
572,6.30917,45.358092,959018,6478617,NA,"73"
617,4.166443,46.979691,788664,6653930,NA,"71"
652,1.30166,42.834555,561007,6194281,NA,"9"
653,0.995608,47.616202,549447,6725891,NA,"41"
694,1.534454,47.171393,588998,6675598,NA,"36"
698,6.289815,47.592694,947167,6726518,NA,"70"
711,5.105807,46.834856,860483,6639329,NA,"71"
771,1.669696,49.024627,602710,6881345,NA,"75"
782,3.144682,47.225329,710948,6680569,NA,"58"
790,-0.005956,44.378402,460562,6368932,NA,"33"
791,1.850075,47.28111,613079,6687388,NA,"41"
812,0.956573,42.974383,533173,6210494,NA,"31"
826,-0.421474,45.178696,431334,6459087,NA,"33"
828,2.598084,43.450209,667453,6261317,NA,"81"
834,1.803552,49.294858,612954,6911242,NA,"60"
836,5.163114,47.427562,863046,6705257,8,"21"
852,4.773873,47.616384,833241,6725497,8,"21"
875,1.012918,45.852869,545819,6530075,NA,"87"
906,1.181432,42.743497,550936,6184376,NA,"9"
911,3.595784,49.558963,743125,6940129,8,"2"
932,5.92085,44.885014,930581,6424913,8,"38"
938,-0.518492,47.066776,433061,6668896,NA,"79"
947,6.59965,49.130347,962641,6898271,8,"57"
959,6.428179,49.388224,948893,6926373,8,"57"
990,6.406797,49.119065,948633,6896393,8,"57"
999,2.37854,46.922291,652710,6647086,NA,"18"
1002,2.603944,44.708898,668629,6401165,NA,"12"
1005,5.330896,48.053358,873637,6775116,NA,"52"
1030,0.83533,46.696509,534611,6624091,8,"86"
1040,2.488514,48.666897,662334,6840870,NA,"75"
1055,3.204025,49.256979,714855,6906388,NA,"2"
1087,-0.085354,43.890921,452125,6315056,NA,"32"
1096,1.507515,47.207183,587033,6679611,NA,"36"
1113,5.890983,48.793658,912331,6858729,NA,"54"
1118,-1.379292,43.512395,345930,6277967,NA,"40"
1181,2.562069,46.850105,666631,6638975,NA,"18"
1199,3.052469,46.254278,704042,6572713,NA,"3"
1210,4.322616,49.782773,795315,6965672,NA,"8"
1288,1.645491,48.790815,600494,6855379,NA,"75"
1315,-0.880705,43.438464,385803,6267651,NA,"64"
1318,6.493826,47.477476,963051,6714389,NA,"25"
1344,2.500321,43.77396,659764,6297343,NA,"81"
1356,2.221674,46.598358,640419,6611217,NA,"18"
1364,3.143222,48.879975,710504,6864449,7,"77"
1372,3.385556,48.734263,728356,6848307,NA,"77"
1384,3.745604,48.982228,754575,6876068,NA,"51"
1390,5.728881,49.23013,898753,6906817,NA,"55"
1414,3.619576,47.203039,746902,6678267,NA,"58"
1422,4.436259,47.155066,808817,6673744,NA,"21"
1428,4.615849,47.655581,821284,6729596,NA,"21"
1437,2.656657,49.529177,675133,6936706,NA,"60"
1445,3.133969,46.505657,710273,6600637,NA,"3"
1447,3.560205,46.915771,742634,6646327,8,"58"
1465,1.527674,47.621125,589416,6725558,NA,"41"
1485,1.866555,48.414345,616132,6813275,NA,"28"
1548,6.735233,47.504602,981071,6718231,NA,"25"
1659,1.110379,49.559297,563235,6941640,NA,"76"
1711,5.516673,48.462397,886023,6820979,NA,"55"
1718,5.435108,45.259778,890965,6465215,NA,"38"
1729,5.483206,48.80515,882352,6858987,NA,"55"
1856,0.5385,43.040062,499279,6218767,NA,"31"
1866,0.576771,49.013529,522762,6882011,NA,"27"
1886,-1.571564,47.774309,357794,6751455,NA,"44"
1901,-2.91174,47.811746,257952,6762261,NA,"56"
1942,1.612631,47.243876,595060,6683541,NA,"36"
1947,5.706899,48.475124,900030,6822858,NA,"55"
1959,-0.476351,48.273788,442158,6802727,NA,"53"
2040,4.803328,49.396543,830934,6923390,NA,"8"
2123,9.154028,42.080739,1209707,6128797,NA,"2B"
