"speciesID","species"
1,"Abies alba"
2,"Abies concolor"
3,"Abies grandis"
4,"Abies nordmanniana"
5,"Acer pseudoplatanus"
6,"Betula pendula"
7,"Carpinus betulus"
8,"Carya tomentosa"
9,"Cedrus atlantica ou libani"
10,"Fagus sylvatica"
11,"Fraxinus excelsior"
12,"Juglans nigra"
13,"Larix decidua"
14,"Larix kaempferi"
15,"Picea abies"
16,"Pinus cembra"
17,"Pinus halepensis"
18,"Pinus laricio"
19,"Pinus nigra"
20,"Pinus pinaster"
21,"Pinus strobus"
22,"Pinus sylvestris"
23,"Pinus uncinata"
24,"Pseudotsuga menziesii"
25,"Quercus palustris"
26,"Quercus petraea"
27,"Quercus robur"
28,"Quercus robur_petraea"
29,"Quercus rubra"
30,"Thuya plicata"
