"species","mean","min","max"
"Alisier blanc",11.8599046331061,4.87976120199476,16.2781613213675
"Alisier torminal",13.9088999210993,10.2943246023996,16.1041521344866
"Aubepine monogyne",13.5092050610968,9.00030071394784,18.1639898845128
"Aulne glutineux",13.4232232473771,8.80143962587629,17.8209484645299
"Bouleau verruqueux",12.7096619216224,4.45043864420482,15.9389074870518
"Charme",13.2471530758987,8.29226691382272,16.1090594700405
"Chataignier",13.7704411136422,9.00560419474328,17.6352479117257
"Chene-liege",16.741328664997,14.0874369485038,18.4029771259853
"Chene pedoncule",13.571058164095,7.62583681515285,17.8167398997716
"Chene pubescent",14.3267913515525,7.44934269360134,18.1939156396048
"Chene rouge",13.7491333202312,10.4063838550023,16.0927867889405
"Chene sessile",13.1111426522609,7.52629735640118,16.3279669625419
"Chene tauzin",14.8127291645863,12.3982650893075,16.1834178652082
"Chene vert",15.3453661287617,7.62836573805128,18.3921240397862
"Douglas",12.6181985310146,9.30448174476624,16.0527503831046
"Epicea commun",10.897705560696,3.43600041525704,15.5886783599854
"Epicea de sitka",12.3745523125541,7.75998327561787,14.3010798863002
"Erable a feuilles d'obier",11.9931540472461,7.44934269360134,15.5500687190465
"Erable champetre",13.2284306215227,8.45868965557643,16.6182231903076
"Erable sycomore",11.8595590121387,3.43600041525704,16.8796811785017
"Frene commun",12.9072554782302,6.6571636199951,17.4486947740827
"Hetre",11.9617901526591,5.77181575979505,16.1776932307652
"Houx",13.2740548994233,8.49912476539612,16.2489722115653
"Meleze d'europe",9.12479185289564,2.95291720117842,15.0883447102138
"Merisier",13.207334943792,8.13031704085214,16.8976182937622
"Noisetier coudrier",12.8824518457809,4.87991011355604,17.0066788537162
"Orme champetre",14.0107094860298,9.59624973365238,17.8913818086897
"Peuplier cultive",13.6609508583569,10.7575911113194,16.3453998565674
"Pin a crochets",7.73599010581222,2.81776736463819,13.0193546158927
"Pin d'alep",16.0824055068369,12.5226827348982,18.4517051151821
"Pin laricio de corse",13.2539970397921,7.70477400613684,16.2747173309326
"Pin maritime",14.9318672127547,9.83191575322834,18.19841166905
"Pin noir d'autriche",12.8625206913962,7.53312574114118,16.9675889696394
"Pin sylvestre",12.367989241531,4.5078238589423,16.767352104187
"Robinier faux acacia",14.0900016144663,9.74266580172949,18.0762160164969
"Sapin pectine",10.8912602407628,4.76530741793769,15.9024098260062
"Saule marsault",12.5356168905308,5.58847174048424,16.0255741391863
"Sorbier des oiseleurs",9.91097746435339,3.43600041525704,16.438006401062
"Tilleul a grandes feuilles",12.5309200718177,7.60084223747253,16.5418251582554
"Tilleul a petites feuilles",13.0781477452885,9.28513290200915,16.7362034661429
"Tremble",13.2020591714736,7.75998327561787,17.1211021968297
