"species","mean","min","max"
"Alisier blanc",615.7721964515,368.833209991455,1397.08940124512
"Alisier torminal",456.591331221224,323.281425476074,914.605140686035
"Arbousier",399.322974914538,185.933495521545,726.175308227539
"Aubepine monogyne",496.630025104148,232.22872543335,1121.02197265625
"Aulne glutineux",521.326469749603,293.487133026123,1195.69836425781
"Bouleau verruqueux",504.584810947331,321.797096252441,1281.54544067383
"Charme",492.117580648779,323.827068328857,1144.61862182617
"Chataignier",506.161223040019,273.240673065186,1008.90498352051
"Chene-liege",373.275073416736,202.315281867981,610.941860198975
"Chene pedoncule",482.317997515625,298.262531280518,1138.56092834473
"Chene pubescent",480.20421003058,263.34152507782,1002.99717712402
"Chene rouge",482.78097737147,325.871726989746,988.940269470214
"Chene sessile",488.627487497256,321.316795349121,1045.23931884766
"Chene tauzin",483.777965358397,324.378143310547,869.221160888671
"Chene vert",438.101083396465,188.851415634155,816.981708526612
"Douglas",553.187880391882,323.827068328857,1179.29182434082
"Epicea commun",728.3932719884,323.827068328857,1618.82180786133
"Epicea de sitka",516.479686725808,325.871726989746,1001.91941833496
"Erable a feuilles d'obier",664.226352592672,364.455810546875,1152.7165222168
"Erable champetre",510.77564448633,315.10778427124,1132.55972290039
"Erable de montpellier",490.245943978016,294.597608566284,843.147163391113
"Erable sycomore",601.491795670382,272.34711933136,1713.75389099121
"Frene commun",544.76265822991,319.309619903564,1493.57095336914
"Hetre",599.876246472413,324.584186553955,1713.75389099121
"Houx",546.718266885583,303.405864715576,1220.63847351074
"Meleze d'europe",573.871723075377,354.985855102539,1142.37878417969
"Merisier",515.655633805126,331.50210571289,1713.75389099121
"Noisetier coudrier",541.941718300053,287.769171714783,1301.57270812988
"Orme champetre",442.90600217463,239.190215110779,884.888603210448
"Peuplier cultive",429.652534354322,319.299575805664,739.921203613281
"Pin a crochets",592.117430050546,398.707256317139,1278.74658203125
"Pin d'alep",382.613617087167,185.933495521545,619.146312713623
"Pin laricio de corse",465.86899147069,303.405864715576,988.940269470214
"Pin maritime",455.617374577841,223.392753601074,783.700283050537
"Pin noir d'autriche",511.866866634738,341.674247741699,880.805465698242
"Pin sylvestre",511.683474125087,323.636669158935,1218.12028503418
"Robinier faux acacia",489.774925382176,323.239479064941,982.670379638672
"Sapin pectine",707.618326619822,329.79634475708,1493.57095336914
"Saule cendre",557.209239993912,317.090839385986,949.175300598144
"Saule marsault",523.520627681002,320.803897857666,1339.61964416504
"Sorbier des oiseleurs",733.440096383061,339.416015625,1376.45556640625
"Tilleul a grandes feuilles",647.805272247298,325.140808105469,1161.4914855957
"Tilleul a petites feuilles",501.346985267123,297.150365829468,985.702491760254
"Tremble",488.167373647489,319.299575805664,1713.75389099121
