"species","mean","min","max"
"Alisier blanc",37.6135093956323,0,132
"Alisier torminal",11.6529471544715,0,185
"Arbousier",37.2422680412371,0,100
"Aubepine monogyne",16.9990507831039,0,190
"Aulne glutineux",9.15615240474703,0,90
"Bouleau verruqueux",12.8388248660932,0,196
"Charme",10.4555759293216,0,200
"Chataignier",21.1408934707904,0,185
"Chene-liege",30.2247706422018,0,80
"Chene pedoncule",11.0989817395756,0,190
"Chene pubescent",28.1383129426916,0,175
"Chene rouge",7.13064133016627,0,68
"Chene sessile",13.8902677988243,0,200
"Chene tauzin",11.6157082748948,0,92
"Chene vert",33.2611614635784,0,175
"Douglas",19.0213822069492,0,154
"Epicea commun",28.3445885907233,0,111
"Epicea de sitka",10.9321533923304,0,72
"Erable a feuilles d'obier",54.4333800841515,0,120
"Erable champetre",17.6518714011516,0,184
"Erable de montpellier",27.021207177814,0,120
"Erable sycomore",23.6992847854356,0,200
"Frene commun",21.1959633027523,0,200
"Hetre",25.6847795364613,0,200
"Houx",26.1944792973651,0,174
"Meleze d'europe",46.4180522565321,0,110
"Merisier",19.199605717102,0,184
"Noisetier coudrier",21.4633562668262,0,184
"Orme champetre",12.0692141312185,0,85
"Peuplier cultive",2.54752851711027,0,50
"Pin a crochets",43.6086105675147,0,110
"Pin d'alep",25.6119929453263,0,175
"Pin laricio de corse",17.8917668825162,0,90
"Pin maritime",8.51084722539393,0,130
"Pin noir d'autriche",29.5696302124312,0,184
"Pin sylvestre",25.2886833101001,0,200
"Robinier faux acacia",16.0211335254563,0,141
"Sapin pectine",33.2816601631784,0,200
"Saule cendre",10.2729083665339,0,84
"Saule marsault",14.9136502398604,0,177
"Sorbier des oiseleurs",35.6567375886525,0,106
"Tilleul a grandes feuilles",35.0539647577093,0,185
"Tilleul a petites feuilles",17.5079522862823,0,141
"Tremble",9.66473791695031,0,115
