SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:47;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 m3 _Oak logs for timber, manually felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak logs for timber, manually felled, 80% water on dry mass basis, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_357XP/Husqvarna U (2009);Operation, passenger car, diesel, fleet average/RER S
1;1-Butanol;Air;high. pop.;kg;1.65702E-14;x;1.5175E-14;1.39524E-15
2;1-Butanol;Eau;river;kg;4.95297E-10;x;4.90119E-10;5.17836E-12
3;1-Pentanol;Air;high. pop.;kg;6.19228E-15;x;5.68623E-15;5.06054E-16
4;1-Pentanol;Eau;river;kg;1.48615E-14;x;1.36469E-14;1.21452E-15
5;1-Pentene;Air;high. pop.;kg;4.6794E-15;x;4.29698E-15;3.82417E-16
6;1-Pentene;Eau;river;kg;1.12304E-14;x;1.03125E-14;9.17802E-16
7;1-Propanol;Air;high. pop.;kg;2.2789E-12;x;2.10994E-12;1.68962E-13
8;1-Propanol;Eau;river;kg;3.67141E-14;x;3.12689E-14;5.44512E-15
9;1,4-Butanediol;Air;high. pop.;kg;1.64703E-12;x;1.62273E-12;2.43021E-14
10;1,4-Butanediol;Eau;river;kg;6.58801E-13;x;6.49081E-13;9.72083E-15
11;2-Aminopropanol;Air;high. pop.;kg;1.4442E-15;x;1.1289E-15;3.15299E-16
12;2-Aminopropanol;Eau;river;kg;3.62425E-15;x;2.83141E-15;7.92843E-16
13;2-Butene, 2-methyl-;Air;high. pop.;kg;1.03794E-18;x;9.53118E-19;8.48243E-20
14;2-Methyl-1-propanol;Air;high. pop.;kg;2.07533E-14;x;1.87227E-14;2.03059E-15
15;2-Methyl-1-propanol;Eau;river;kg;4.98077E-14;x;4.49344E-14;4.87332E-15
16;2-Methyl-2-butene;Eau;river;kg;2.49109E-18;x;2.28751E-18;2.03582E-19
17;2-Nitrobenzoic acid;Air;high. pop.;kg;2.57115E-15;x;2.00412E-15;5.67031E-16
18;2-Propanol;Air;high. pop.;kg;2.93827E-08;x;2.90783E-08;3.04488E-10
19;2-Propanol;Eau;river;kg;2.04491E-14;x;1.77751E-14;2.67394E-15
20;2,4-D;Sol;agricultural;kg;1.30269E-10;x;1.17616E-10;1.26527E-11
21;4-Methyl-2-pentanone;Eau;;kg;4.26573E-14;x;4.06788E-14;1.97846E-15
