SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:46;;;;
Projet;_Forest resources database;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Calculation: ;Analyser;;;;;;;;
Results: ;Inventaire;;;;;;;;
Product: ;1 m3 _Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;;
Méthode: ;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;
Unité: ;?;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;
Default units: ;Non;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;
Sorted on item: ;Substance;;;;;;;;
Sort order: ;Croissant;;;;;;;;
;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U;_Hardwood, stemwood, diameter>7 cm , mechanically felling, in forest/FR U;Operation, lorry >28t, fleet average/CH S;Operation, passenger car, diesel, fleet average/RER S
1;1-Butanol;Air;high. pop.;kg;4.89737E-14;x;4.82031E-14;4.75967E-17;7.22983E-16
2;1-Butanol;Eau;river;kg;6.79453E-10;x;6.76593E-10;1.76654E-13;2.68331E-12
3;1-Pentanol;Air;high. pop.;kg;3.71003E-14;x;3.68208E-14;1.72636E-17;2.62227E-16
4;1-Pentanol;Eau;river;kg;8.90407E-14;x;8.83699E-14;4.14325E-17;6.29337E-16
5;1-Pentene;Air;high. pop.;kg;2.80365E-14;x;2.78253E-14;1.30458E-17;1.9816E-16
6;1-Pentene;Eau;river;kg;6.72856E-14;x;6.67788E-14;3.13102E-17;4.75586E-16
7;1-Propanol;Air;high. pop.;kg;9.69276E-12;x;9.59944E-12;5.76409E-15;8.75525E-14
8;1-Propanol;Eau;river;kg;1.75937E-13;x;1.7293E-13;1.85754E-16;2.82155E-15
9;1,4-Butanediol;Air;high. pop.;kg;2.43256E-12;x;2.41914E-12;8.29045E-16;1.25928E-14
10;1,4-Butanediol;Eau;river;kg;9.73011E-13;x;9.67642E-13;3.31618E-16;5.03713E-15
11;2-Aminopropanol;Air;high. pop.;kg;4.95197E-15;x;4.77783E-15;1.07561E-17;1.63381E-16
12;2-Aminopropanol;Eau;river;kg;1.24193E-14;x;1.19815E-14;2.70474E-17;4.10834E-16
13;2-Butene, 2-methyl-;Air;high. pop.;kg;6.21862E-18;x;6.17177E-18;2.89369E-21;4.39541E-20
14;2-Methyl-1-propanol;Air;high. pop.;kg;1.00368E-13;x;9.9247E-14;6.92699E-17;1.05221E-15
15;2-Methyl-1-propanol;Eau;river;kg;2.4088E-13;x;2.38189E-13;1.66251E-16;2.52525E-15
16;2-Methyl-2-butene;Eau;river;kg;1.4925E-17;x;1.48126E-17;6.94499E-21;1.05492E-19
17;2-Nitrobenzoic acid;Air;high. pop.;kg;8.59336E-15;x;8.2802E-15;1.93441E-17;2.93823E-16
