SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:56;;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;;
Product: ;1 ha _Oak forest rack making by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;;
Méthode: ;;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;;
;;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack making by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Operation, passenger car, diesel, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
1;1-Butanol;Air;high. pop.;kg;9.45764E-12;x;2.5677E-14;2.6172E-14;6.68107E-13;x;x;3.07113E-12;5.66655E-12
2;1-Butanol;Eau;river;kg;1.07431E-08;x;9.53E-11;9.7136E-11;1.00465E-09;x;x;7.16693E-09;2.37906E-09
3;1-Pentanol;Air;high. pop.;kg;9.59598E-12;x;9.3131E-15;9.4926E-15;1.5959E-13;x;x;5.48263E-12;3.93495E-12
4;1-Pentanol;Eau;river;kg;2.30308E-11;x;2.2351E-14;2.2782E-14;3.8303E-13;x;x;1.31584E-11;9.44425E-12
5;1-Pentene;Air;high. pop.;kg;7.25155E-12;x;7.0377E-15;7.1734E-15;1.20599E-13;x;x;4.14305E-12;2.97369E-12
6;1-Pentene;Eau;river;kg;1.74039E-11;x;1.6891E-14;1.72162E-14;2.89441E-13;x;x;9.94346E-12;7.13693E-12
7;1-Propanol;Air;high. pop.;kg;8.08039E-10;x;3.1095E-12;3.1694E-12;8.24111E-11;x;x;2.93775E-10;4.25574E-10
8;1-Propanol;Eau;river;kg;1.19703E-10;x;1.0021E-13;1.0214E-13;1.13022E-12;x;x;4.77044E-11;7.06663E-11
9;1,4-Butanediol;Air;high. pop.;kg;6.48205E-11;x;4.4724E-13;4.5586E-13;7.5158E-12;x;x;3.20275E-11;2.43741E-11
10;1,4-Butanediol;Eau;river;kg;2.59281E-11;x;1.789E-13;1.82344E-13;3.00635E-12;x;x;1.2811E-11;9.7495E-12
11;2-Aminopropanol;Air;high. pop.;kg;7.27417E-12;x;5.8026E-15;5.9144E-15;5.23996E-14;x;x;2.47775E-12;4.7323E-12
