i,n
1,2
1,3
1,8
1,9
1,4
1,7
1,6
1,11
2,2
2,3
2,8
2,4
2,5
2,11
3,2
3,3
3,8
3,10
3,11
4,2
4,3
4,8
4,9
4,10
4,4
4,7
4,6
4,11
5,2
5,3
5,8
5,9
5,10
5,4
5,7
5,6
5,11
6,2
6,3
6,8
6,9
6,10
6,4
6,7
6,6
6,11
7,2
7,3
7,8
7,9
7,7
7,6
7,11
7,12
7,1
8,2
8,3
8,8
8,9
8,4
8,7
8,6
8,11
8,1
9,2
9,3
9,8
9,9
9,4
9,7
9,6
9,11
9,1
10,2
10,3
10,9
10,11
11,2
11,3
11,8
11,9
11,10
11,4
11,7
11,6
11,11
11,1
12,2
12,3
12,10
12,7
12,6
12,5
12,11
13,3
13,9
13,5
13,11
14,2
14,3
14,8
14,4
14,7
14,5
14,11
15,2
15,3
15,9
15,10
15,4
15,7
15,6
15,11
15,1
16,2
16,3
16,8
16,9
16,10
16,4
16,7
16,6
16,11
17,2
17,3
17,9
17,4
17,11
18,2
18,3
18,8
18,9
18,7
18,5
18,11
19,2
19,3
19,8
19,9
19,10
19,7
19,6
19,11
19,1
20,2
20,3
20,8
20,9
20,10
20,7
20,6
20,11
21,2
21,3
21,8
21,9
21,10
21,4
21,7
21,6
21,11
21,1
22,2
22,3
22,8
22,9
22,10
22,4
22,7
22,6
22,5
22,11
23,2
23,3
23,11
24,2
24,3
24,8
24,9
24,4
24,7
24,11
25,2
25,3
25,8
25,9
25,10
25,4
25,7
25,6
25,11
26,3
26,8
26,7
26,6
27,2
27,3
27,8
27,10
27,7
27,11
28,2
28,3
28,9
28,11
29,2
29,3
29,10
29,4
29,7
29,11
30,2
30,3
30,7
30,6
30,11
30,1
31,2
31,3
31,8
31,9
31,4
31,7
31,11
32,2
32,3
32,8
32,9
32,10
32,4
32,7
32,6
32,5
32,11
32,1
33,2
33,3
33,8
33,9
33,10
33,4
33,7
33,6
33,11
34,2
34,3
34,8
34,9
34,4
34,7
34,6
34,11
35,2
35,3
35,8
35,9
35,7
35,6
35,11
35,1
36,2
36,3
36,8
36,9
36,10
36,4
36,7
36,6
36,5
36,11
37,2
37,3
37,4
37,7
37,6
38,2
38,3
38,8
38,4
38,7
38,11
39,2
39,3
39,8
39,9
39,7
39,6
39,11
40,2
40,3
40,8
40,9
40,10
40,11
41,2
41,3
41,8
41,9
41,4
41,7
41,6
41,11
