"idp","XCOORD","YCOORD","xl93","yl93","dc","dep"
19,5.75082,48.310076,903872,6804836,NA,"88"
23,7.145612,48.801732,1004318,6863931,NA,"57"
45,-0.759158,43.026571,393417,6221638,NA,"64"
54,3.005469,44.489538,700394,6376921,NA,"12"
69,1.193937,48.318031,566084,6803699,NA,"28"
83,-0.879391,45.182579,395385,6461381,NA,"33"
98,1.256908,45.259857,563253,6463989,NA,"19"
101,6.828817,47.661365,987222,6736164,NA,"90"
147,3.990417,48.078133,773713,6775969,NA,"10"
168,3.17529,47.457199,713166,6706531,8,"58"
170,6.479061,48.304713,957850,6806370,NA,"88"
188,5.64845,47.971005,897550,6766916,NA,"52"
190,1.236741,47.562962,567383,6719746,NA,"41"
207,1.550874,46.090049,587997,6555702,NA,"23"
214,4.902202,49.158966,838707,6897338,NA,"51"
233,5.722033,49.534243,897047,6940813,8,"54"
244,3.486195,47.112667,736826,6668359,NA,"58"
259,2.352047,43.988033,647979,6321418,NA,"81"
271,4.3101,46.579537,800279,6609866,NA,"71"
276,2.031493,48.01746,627754,6769207,8,"45"
296,2.740278,46.056077,679879,6550935,NA,"63"
321,2.250406,45.301053,641210,6467334,NA,"19"
335,5.421254,48.211192,879787,6793051,NA,"52"
344,7.274746,49.012549,1012521,6887845,NA,"57"
373,1.224578,49.414884,571097,6925584,NA,"76"
526,0.806229,49.589971,541281,6945821,NA,"76"
534,5.304985,46.629994,876281,6617211,8,"71"
554,2.575204,43.754037,665741,6295295,NA,"81"
572,6.309591,45.356269,959018,6478617,NA,"73"
617,4.166944,46.97788,788664,6653930,NA,"71"
652,1.30221,42.83275,561007,6194281,NA,"9"
653,0.996216,47.614408,549447,6725891,NA,"41"
694,1.53504,47.169595,588998,6675598,NA,"36"
698,6.290254,47.590876,947167,6726518,NA,"70"
711,5.106277,46.833041,860483,6639329,NA,"71"
771,1.670298,49.022834,602710,6881345,NA,"75"
782,3.145218,47.223524,710948,6680569,NA,"58"
791,1.850652,47.279311,613079,6687388,NA,"41"
826,-0.420851,45.176903,431334,6459087,NA,"33"
834,1.804153,49.293066,612954,6911242,NA,"60"
836,5.163587,47.425748,863046,6705257,8,"21"
852,4.77436,47.614573,833241,6725497,8,"21"
875,1.013506,45.85107,545819,6530075,NA,"87"
906,1.181985,42.741693,550936,6184376,NA,"9"
932,5.92128,44.883192,930581,6424913,8,"38"
947,6.600092,49.128533,962641,6898271,8,"57"
959,6.428629,49.386412,948893,6926373,8,"57"
990,6.407246,49.117251,948633,6896393,8,"57"
999,2.379097,46.920488,652710,6647086,NA,"18"
1002,2.604472,44.707089,668629,6401165,NA,"12"
1005,5.33137,48.051545,873637,6775116,NA,"52"
1030,0.835932,46.694714,534611,6624091,8,"86"
1040,2.489086,48.665099,662334,6840870,NA,"75"
1055,3.20458,49.25518,714855,6906388,NA,"2"
1087,-0.084754,43.889124,452125,6315056,NA,"32"
1096,1.508102,47.205386,587033,6679611,NA,"36"
1113,5.891445,48.791845,912331,6858729,NA,"54"
1118,-1.378659,43.510605,345930,6277967,NA,"40"
1181,2.562619,46.848301,666631,6638975,NA,"18"
1199,3.052998,46.25247,704042,6572713,NA,"3"
1210,4.32314,49.780971,795315,6965672,NA,"8"
1274,0.73686,49.157785,534887,6897901,NA,"27"
1288,1.646091,48.789022,600494,6855379,NA,"75"
1315,-0.880087,43.436671,385803,6267651,NA,"64"
1318,6.494258,47.475657,963051,6714389,NA,"25"
1344,2.500844,43.772151,659764,6297343,NA,"81"
1356,2.222232,46.596556,640419,6611217,NA,"18"
1364,3.143775,48.878175,710504,6864449,7,"77"
1372,3.3861,48.732461,728356,6848307,NA,"77"
1384,3.746138,48.980426,754575,6876068,NA,"51"
1390,5.729353,49.22832,898753,6906817,NA,"55"
1414,3.620097,47.201231,746902,6678267,NA,"58"
1422,4.436753,47.153254,808817,6673744,NA,"21"
